block_code,real_ton,potensi_ton,id
E032A,2.64,8.71,448
E032B,0.0,0.0,455
E033A,322.83,481.82,406
E034A,447.45,598.78,458
E035A,291.16,438.25,609
E036A,359.22,591.96,601
E036B,5.49,13.99,611
E037A,287.17,416.43,620
E037B,36.9,59.35,621
E038A,382.73,642.3,622
E039A,327.68,316.68,623
E040A,382.51,471.48,624
E041A,270.56,540.99,625
E042A,238.65,373.48,626
E043A,78.29,154.45,627
E043B,1.37,5.58,628
E044A,13.5,59.29,629
F001A,347.55,437.59,105
F002A,242.53,374.3,106
F003A,225.79,291.96,107
F004A,243.4,296.68,108
F005A,353.29,677.29,109
F006A,482.23,482.27,80
F007A,436.43,398.26,82
F008A,580.76,604.33,84
F009A,456.02,455.07,111
F010A,438.67,484.97,112
F011A,392.14,423.78,113
F012A,473.91,530.42,114
F013A,495.53,499.13,265
F014A,483.89,542.31,266
F015A,384.56,443.69,274
F016A,471.66,472.99,267
F017A,417.4,432.17,277
F018A,431.63,450.17,279
F019A,385.24,441.78,281
F020A,402.05,531.99,283
F021A,470.09,657.17,285
F022A,554.47,666.61,286
F023A,401.42,639.64,287
F024A,129.54,180.35,288
F025A,108.25,158.57,397
F025B,4.03,5.66,420
F025C,59.63,112.1,427
F025D,0.0,0.0,456
F025E,0.0,0.0,462
F026A,488.81,668.01,388
F027A,505.12,691.08,398
F028A,26.34,21.71,441
F028B,0.0,0.0,457
F028C,0.0,0.0,463
F029A,14.56,41.9,429
F029B,14.83,24.41,434
F029C,5.81,9.44,443
F029D,3.62,3.15,449
F029E,0.0,0.0,459
F029F,0.0,0.0,464
F029G,0.0,0.0,467
F030A,21.65,44.64,431
F030B,50.58,45.28,436
F030C,0.75,8.71,450
F030D,0.0,0.0,460
F030E,0.0,0.0,465
F030F,0.0,0.0,468
F031A,76.15,76.29,438
F031B,12.84,18.57,452
F031C,0.0,0.0,461
F031D,0.0,0.0,466
F031E,0.0,0.0,469
F032A,481.91,662.76,389
F033A,474.74,605.77,391
F034A,464.36,676.05,473
F035A,394.46,562.69,630
F036A,472.22,644.06,631
F037A,418.24,574.65,632
F038A,360.62,686.47,633
F039A,349.72,430.17,634
F040A,291.37,432.24,635
F041A,310.11,331.75,636
F042A,263.61,460.74,637
F043A,104.54,378.25,638
F044A,138.86,217.89,639
F045A,133.96,165.52,640
