id,block_id,block_code,year,real_bjr_kg,real_jum_jjg,real_ton,potensi_bjr_kg,potensi_jum_jjg,potensi_ton,gap_bjr_kg,gap_jum_jjg,gap_ton,gap_pct_bjr,gap_pct_jjg,gap_pct_ton,created_at
390,391,K027B,2023,,,,,,,,,,,,,2026-02-04T10:22:59
399,400,L028B,2023,,,,,,,,,,,,,2026-02-04T10:22:59
402,403,L029B,2023,,,,,,,,,,,,,2026-02-04T10:22:59
405,406,L030B,2023,,,,,,,,,,,,,2026-02-04T10:22:59
407,408,C027A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
409,410,C027B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
411,412,C028A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
413,414,C029A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
415,416,D026A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
426,427,D027G,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
428,429,D027H,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
430,431,D027I,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
435,436,D028D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
437,438,D028E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
439,440,D028F,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
440,441,D028G,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
442,443,D029A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
444,445,D029B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
445,446,D033A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
446,447,D034A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
451,452,E026D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
453,454,E026E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
454,455,E028A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
455,456,E032B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
456,457,F025D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
457,458,F028B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
459,460,F029E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
460,461,F030D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
461,462,F031C,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
462,463,F025E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
463,464,F028C,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
464,465,F029F,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
465,466,F030E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
466,467,F031D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
467,468,F029G,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
468,469,F030F,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
469,470,F031E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
506,507,M031B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
542,543,M034A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
545,546,M035A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
548,549,M036A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
549,550,M036C,2023,,,,,,,,,,,,,2026-02-04T10:22:59
564,565,N037A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
570,571,N042A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
575,576,N043D,2023,,,,,,,,,,,,,2026-02-04T10:22:59
603,604,J044D,2023,,,,,,,,,,,,,2026-02-04T10:22:59
610,611,K041C,2023,,,,,,,,,,,,,2026-02-04T10:22:59
612,613,C036A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
613,614,C037A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
619,620,D043B,2023,3.67,488.0,1.79,,0.0,0.0,,488.0,1.79,,0.0,0.0,2026-02-04T10:22:59
654,17,A004E,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
656,19,A005B,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
657,20,A005C,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
658,21,A006A,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
660,23,A007A,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
678,41,B001F,2024,,,,,,,,,,,,,2026-02-04T10:22:59
685,48,B002E,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
692,55,B003E,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
696,59,B006D,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
703,66,B007D,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
706,69,B008E,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
713,76,B009G,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
714,77,C003A,2024,,,,,,,,,,,,,2026-02-04T10:22:59
716,79,C004F,2024,,,,,,,,,,,,,2026-02-04T10:22:59
717,80,C005E,2024,,,,,,,,,,,,,2026-02-04T10:22:59
763,125,C024B,2024,,,,,,,,,,,,,2026-02-04T10:22:59
788,150,D024G,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
793,155,E024D,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
800,162,A012D,2024,,,,,,,,,,,,,2026-02-04T10:22:59
810,172,A013E,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1106,467,F031D,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
818,180,A014D,2024,,,,,,,,,,,,,2026-02-04T10:22:59
823,185,A018C,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
827,189,B022B,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
841,203,B012D,2024,,,,,,,,,,,,,2026-02-04T10:22:59
843,205,B013C,2024,,,,,,,,,,,,,2026-02-04T10:22:59
848,210,B020B,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
853,215,B015D,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
854,216,B015E,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
859,221,B016F,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
860,222,B016G,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
861,223,B016H,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
864,226,B017E,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
865,227,B017F,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
866,228,B017G,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
868,230,B023A,2024,,,,,,,,,,,,,2026-02-04T10:22:59
869,231,B024B,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1107,468,F029G,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
881,243,G004A,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1108,469,F030F,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
956,318,H023C,2024,,,,,,,,,,,,,2026-02-04T10:22:59
970,332,I023C,2024,,,,,,,,,,,,,2026-02-04T10:22:59
976,338,J021A,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1006,367,H025C,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1030,391,K027B,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1039,400,L028B,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1042,403,L029B,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1045,406,L030B,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1047,408,C027A,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1049,410,C027B,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1051,412,C028A,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1053,414,C029A,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1068,429,D027H,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1070,431,D027I,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1077,438,D028E,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1079,440,D028F,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1080,441,D028G,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1082,443,D029A,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1084,445,D029B,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1085,446,D033A,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1086,447,D034A,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1093,454,E026E,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1095,456,E032B,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1102,463,F025E,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1103,464,F028C,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1104,465,F029F,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1105,466,F030E,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1109,470,F031E,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1146,507,M031B,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1182,543,M034A,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1185,546,M035A,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1188,549,M036A,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1189,550,M036C,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1204,565,N037A,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1210,571,N042A,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1215,576,N043D,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1500,222,B016G,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1243,604,J044D,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1250,611,K041C,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1252,613,C036A,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1253,614,C037A,2024,,,,,,,,,,,,,2026-02-04T10:22:59
1501,223,B016H,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1297,20,A005C,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1298,21,A006A,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1300,23,A007A,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1318,41,B001F,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1336,59,B006D,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1343,66,B007D,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1346,69,B008E,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1353,76,B009G,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1354,77,C003A,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1356,79,C004F,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1357,80,C005E,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1403,125,C024B,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1440,162,A012D,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1450,172,A013E,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1458,180,A014D,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1467,189,B022B,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1481,203,B012D,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1483,205,B013C,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1488,210,B020B,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1493,215,B015D,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1494,216,B015E,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1505,227,B017F,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1506,228,B017G,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1508,230,B023A,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1509,231,B024B,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1521,243,G004A,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1596,318,H023C,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1610,332,I023C,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1616,338,J021A,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1646,367,H025C,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1670,391,K027B,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1679,400,L028B,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1682,403,L029B,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1685,406,L030B,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1689,410,C027B,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1693,414,C029A,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1710,431,D027I,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1719,440,D028F,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1720,441,D028G,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1724,445,D029B,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1725,446,D033A,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1726,447,D034A,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1733,454,E026E,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1735,456,E032B,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1742,463,F025E,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1747,468,F029G,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1748,469,F030F,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1749,470,F031E,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1786,507,M031B,2025,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
1822,543,M034A,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1825,546,M035A,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1828,549,M036A,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1829,550,M036C,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1844,565,N037A,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1850,571,N042A,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1855,576,N043D,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1883,604,J044D,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1890,611,K041C,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1892,613,C036A,2025,,,,,,,,,,,,,2026-02-04T10:22:59
1893,614,C037A,2025,,,,,,,,,,,,,2026-02-04T10:22:59
