block_code,estate,division,division_lama
B021B,AME,AME004,AME04
B014E,AME,AME004,AME04
B015C,AME,AME004,AME04
B015D,AME,AME004,AME04
B015E,AME,AME004,AME04
B016C,AME,AME004,AME04
B017B,AME,AME004,AME04
B016D,AME,AME004,AME04
B016E,AME,AME004,AME04
B016F,AME,AME004,AME04
B016G,AME,AME004,AME04
B016H,AME,AME004,AME04
B017C,AME,AME004,AME04
B017D,AME,AME004,AME04
B017E,AME,AME004,AME04
B017F,AME,AME004,AME04
B017G,AME,AME004,AME04
B024A,AME,AME004,AME04
B023A,AME,AME004,AME04
B024B,AME,AME004,AME04
G005A,OLE,OLE001,OLE01
G006A,OLE,OLE001,OLE01
G007A,OLE,OLE001,OLE01
G008A,OLE,OLE001,OLE01
G001A,OLE,OLE001,OLE01
G009A,OLE,OLE001,OLE01
G010A,OLE,OLE001,OLE01
G002A,OLE,OLE001,OLE01
G011A,OLE,OLE001,OLE01
G003A,OLE,OLE001,OLE01
G012A,OLE,OLE001,OLE01
G004A,OLE,OLE001,OLE01
H009A,OLE,OLE001,OLE01
H010A,OLE,OLE001,OLE01
H005A,OLE,OLE001,OLE01
H006A,OLE,OLE001,OLE01
H011A,OLE,OLE001,OLE01
H012A,OLE,OLE001,OLE01
I012A,OLE,OLE001,OLE01
I014A,OLE,OLE001,OLE01
I015A,OLE,OLE001,OLE01
J012A,OLE,OLE001,OLE01
J013A,OLE,OLE001,OLE01
H007A,OLE,OLE001,OLE01
J014A,OLE,OLE001,OLE01
H008A,OLE,OLE001,OLE01
J015A,OLE,OLE001,OLE01
I010A,OLE,OLE001,OLE01
J011A,OLE,OLE001,OLE01
I011A,OLE,OLE001,OLE01
K012A,OLE,OLE001,OLE01
I013A,OLE,OLE001,OLE01
K013A,OLE,OLE001,OLE01
K014A,OLE,OLE001,OLE01
K015A,OLE,OLE001,OLE01
F013A,OLE,OLE002,OLE02
F014A,OLE,OLE002,OLE02
F016A,OLE,OLE002,OLE02
G013A,OLE,OLE002,OLE02
G014A,OLE,OLE002,OLE02
G015A,OLE,OLE002,OLE02
G016A,OLE,OLE002,OLE02
G017A,OLE,OLE002,OLE02
G018A,OLE,OLE002,OLE02
F015A,OLE,OLE002,OLE02
H013A,OLE,OLE002,OLE02
H014A,OLE,OLE002,OLE02
F017A,OLE,OLE002,OLE02
H015A,OLE,OLE002,OLE02
F018A,OLE,OLE002,OLE02
H017A,OLE,OLE002,OLE02
F019A,OLE,OLE002,OLE02
H018A,OLE,OLE002,OLE02
F020A,OLE,OLE002,OLE02
H019A,OLE,OLE002,OLE02
F021A,OLE,OLE002,OLE02
F022A,OLE,OLE002,OLE02
F023A,OLE,OLE002,OLE02
F024A,OLE,OLE002,OLE02
G015B,OLE,OLE002,OLE02
G019A,OLE,OLE002,OLE02
G020A,OLE,OLE002,OLE02
G016B,OLE,OLE002,OLE02
H016A,OLE,OLE002,OLE02
G016C,OLE,OLE002,OLE02
H020A,OLE,OLE002,OLE02
H021A,OLE,OLE002,OLE02
H022A,OLE,OLE002,OLE02
G021A,OLE,OLE002,OLE02
G022A,OLE,OLE002,OLE02
G021B,OLE,OLE002,OLE02
G023A,OLE,OLE002,OLE02
H022B,OLE,OLE002,OLE02
G022B,OLE,OLE002,OLE02
H023A,OLE,OLE002,OLE02
G023B,OLE,OLE002,OLE02
G023C,OLE,OLE002,OLE02
G023D,OLE,OLE002,OLE02
H023B,OLE,OLE002,OLE02
I016A,OLE,OLE003,OLE03
I017A,OLE,OLE003,OLE03
I018A,OLE,OLE003,OLE03
