id,block_code,column_59,column_60,nomor_1,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,created_at_gabungan,data_source_gabungan,preprocessing_version,number_col,0_6780462184873949,3808,2010,126_93333333333334,2_938799863291047,34496,101_37684008408796,3_0142610659229665,42662,128_5944055944056,0_07546120263191947,8166,27_21756551031764,3_980585584165905,63458,252_6,3_641010119006645,55264,201_21678321678323,0_33957546515925996,8194,51_38321678321677,4_316289710148346,84802,366_03,4_612661823142521,59996
188,A020B,A020B,2017.0,185.0,97.74,8.361829437253473,13855.0,115.85314685314688,-2.936952931730911,4162.0,-18.11314685314688,6.04175851431075,15548.453281853284,93.94,11.432994298076114,12956.0,148.12587412587413,-5.391235783765364,2592.4532818532825,-54.185874125874136,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,185.0,0.0181623931623931,936.0,2017.0,139.70149253731344, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
189,C016A,C016A,2013.0,176.0,448.15,15.190750164819436,43192.0,656.1188811188811,-7.725813628856481,16842.0,-207.9688811188811,9.552836457184316,56574.81968023735,540.45,15.880695649789573,41315.5,656.1188811188811,-6.327859192605258,15259.31968023735,-115.66888111888102,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,176.0,0.0269129287598944,3790.0,2013.0,132.05574912891984, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,1.9720848546471321,21637.0,42.67, ,0.0,0.0, ,21637.0,42.67,2.4397127716765223,52084.0,127.07,2.497502497502497,51632.0
190,A020C,A020C,2019.0,201.0,22.07,4.246726036609305,3598.0,15.279720279720278,0.0196571066344608,1575.0,6.790279720279722,4.975072394404344,4677.318872017354,23.27,5.899991988371694,3666.0,21.62937062937063,-0.92491959396735,1011.318872017354,1.6406293706293695,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,201.0,0.1828793774319066,257.0,2019.0,142.77777777777777, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
191,C017A,C017A,2013.0,177.0,409.92,15.141878624878885,40456.5,612.5874125874125,-7.829713087954159,15603.5,-202.66741258741249,9.217054941885726,52166.33762428551,480.82,15.827291725443102,38704.5,612.5874125874125,-6.610236783557376,13461.837624285508,-131.76741258741248,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,177.0,0.1101481688565837,3577.0,2013.0,132.9739776951673, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,2.027062463942938,19067.0,38.65, ,0.0,0.0, ,19067.0,38.65,2.5686441020663997,49458.0,127.04,2.4975024975024973,44562.0
192,C018B,C018B,2015.0,178.0,37.55,11.510707294983783,5266.0,60.61538461538461,-4.474919399162163,71.0,-23.065384615384616,7.365580541851806,5737.497507477567,42.26,12.917220046906586,4881.0,63.04895104895104,-5.55163950505478,856.4975074775666,-20.78895104895104,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,178.0,0.2512562814070351,398.0,2015.0,132.66666666666666, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
193,A021B,A021B,2017.0,186.0,70.4,8.27893205060835,8304.0,68.74825174825175,-2.943577749736808,4891.0,1.6517482517482591,5.8855570370790655,11176.512195121952,65.78,11.304282137615468,7776.0,87.90209790209788,-5.4187251005364026,3400.512195121952,-22.12209790209788,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,186.0,0.1661538461538461,650.0,2017.0,130.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
194,B012A,B012A,2016.0,181.0,370.43,10.463446611747337,40782.0,426.7202797202799,-3.8429504721991528,15170.0,-56.29027972027984,8.089526932419696,46986.678352810246,380.1,12.349743458673784,37703.0,465.62237762237766,-4.260216526254087,9283.678352810246,-85.52237762237763,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,181.0,0.2971460548405148,3574.0,2016.0,137.46153846153845, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
195,B012B,B012B,2018.0,195.0,43.11,5.1056273569362585,7640.0,39.00699300699301,-0.1195066074567305,1006.0,4.103006993006986,5.547124605844773,8051.017991004498,44.66,6.888395832689893,7019.0,48.34965034965036,-1.3412712268451203,1032.017991004498,-3.689650349650364,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,195.0,0.4151696606786427,501.0,2018.0,143.14285714285714, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
196,B012C,B012C,2019.0,202.0,4.53,4.370629370629371,976.0,4.265734265734266,0.3334204736073891,-13.0,0.2642657342657344,5.3816172480142095,938.3796296296296,5.05,6.118881118881118,976.0,5.972027972027972,-0.7372638708669088,-37.62037037037044,-0.9220279720279718,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,202.0,0.1285714285714285,70.0,2019.0,175.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
197,B013A,B013A,2016.0,182.0,366.45,9.992407592407591,43750.0,437.16783216783216,-3.346837972154429,11392.0,-70.71783216783217,7.905266653039842,47144.519768563165,372.69,11.808290964618504,40300.0,475.8741258741258,-3.903024311578664,6844.519768563165,-103.1841258741258,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,182.0,0.2321644498186215,3308.0,2016.0,131.2698412698413, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
198,B013B,B013B,2018.0,196.0,32.11,6.118881118881118,4704.0,28.78321678321678,-1.0930554810661235,1685.0,3.32678321678322,5.565442496934378,6441.536323436513,35.85,8.391608391608392,4410.0,37.00699300699301,-2.8261658946740136,2031.5363234365127,-1.1569930069930052,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,196.0,0.1009174311926605,327.0,2018.0,136.25, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
199,B015B,B015B,2017.0,187.0,23.21,7.53289383272539,3562.0,26.83216783216784,-2.167660360695801,764.0,-3.622167832167836,6.013245098191758,3498.9426934097423,21.04,10.132807852772777,3421.0,34.66433566433567,-4.119562754581018,77.94269340974233,-13.624335664335668,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,187.0,0.2635983263598326,239.0,2017.0,149.375, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
200,B014B,B014B,2018.0,197.0,53.34,6.102411196619152,11464.0,69.95804195804196,-1.1767486238977556,-635.0,-16.618041958041957,6.35933421238224,9136.176533523536,58.1,8.367656171081338,10744.0,89.90209790209789,-2.008321958699097,-1607.823466476464,-31.80209790209789,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,197.0,0.0531914893617021,752.0,2018.0,147.45098039215688, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
201,B016B,B016B,2017.0,188.0,14.73,8.391608391608393,2115.0,17.74825174825175,-3.1082511462712343,673.0,-3.0182517482517497,6.115766655773191,2238.4765100671143,13.69,11.48851148851149,1974.0,22.67832167832168,-5.372744832738299,264.4765100671143,-8.98832167832168,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,188.0,0.0,141.0,2017.0,141.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
202,B014C,B014C,2019.0,203.0,127.92,4.370629370629371,25472.0,111.32867132867132,0.0521483495241401,3451.0,16.591328671328668,5.240326091900995,25196.90524680704,132.04,6.118881118881119,25472.0,155.86013986013987,-0.8785550269801243,-275.0947531929596,-23.820139860139875,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,203.0,0.2095332671300893,2014.0,2019.0,140.83916083916083, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
203,B020B,B020B,2017.0,189.0,0.0,13.04847477674912,0.0,0.0,-5.561648410193306,0.0,0.0,8.489968671245864,0.0,0.0,13.869218413812163,0.0,0.0,-5.371838138107516,0.0,0.0,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,189.0,0.0,0.0,2017.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
204,B014D,B014D,2020.0,208.0,5.48,3.4965034965034967,1080.0,3.776223776223776,0.3303121459546037,352.0,1.7037762237762242,4.235930188100097,1992.4785407725324,8.44,4.37062937062937,960.0,4.195804195804195,-0.1346991825292729,1032.4785407725324,4.2441958041958046,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,208.0,0.3023255813953488,86.0,2020.0,143.33333333333334, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
205,B021B,B021B,2017.0,190.0,15.04,8.268461098649778,2862.0,23.664335664335667,-3.2751012048914783,150.0,-8.624335664335668,5.736639578962233,2747.2529488859764,15.76,11.317767689581784,2668.0,30.1958041958042,-5.581128110619551,79.25294888597637,-14.435804195804195,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,190.0,0.0210526315789473,190.0,2017.0,135.71428571428572, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
206,B014E,B014E,2021.0,211.0,40.09,2.4975024975024973,11858.0,29.615384615384613,0.968092246619218,-290.0,10.47461538461539,4.197651051558425,12082.948148148149,50.72,3.496503496503496,15246.0,53.3076923076923,0.7011475550549289,-3163.051851851851,-2.5876923076923006,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,211.0,0.140973630831643,986.0,2021.0,142.8985507246377, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
207,B015C,B015C,2021.0,212.0,22.11,2.497502497502498,4984.0,12.44755244755245,0.914534539534539,1496.0,9.66244755244755,4.496454238867117,5035.078485687904,22.64,3.496503496503497,6408.0,22.40559440559441,0.99995074236362,-1372.9215143120964,0.2344055944055902,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,212.0,0.2441613588110403,471.0,2021.0,142.72727272727275, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
208,B015D,B015D,2023.0,219.0,0.0,13.04847477674912,0.0,0.0,-5.561648410193306,0.0,0.0,8.489968671245864,0.0,0.0,13.869218413812163,0.0,0.0,-5.371838138107516,0.0,0.0,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,219.0,0.0360065466448445,611.0,2023.0,142.09302325581396, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
209,B015E,B015E,2025.0,222.0,0.0,13.04847477674912,0.0,0.0,-5.561648410193306,0.0,0.0,8.489968671245864,0.0,0.0,13.869218413812163,0.0,0.0,-5.371838138107516,0.0,0.0,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,222.0,0.0,139.0,2025.0,126.36363636363636, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
210,B016C,B016C,2018.0,198.0,6.21,6.118881118881119,1008.0,6.167832167832168,-1.3309088752419518,289.0,0.0421678321678316,5.470876428960261,1102.2,6.03,8.391608391608392,945.0,7.930069930069931,-2.920731962648131,157.20000000000005,-1.9000699300699304,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,198.0,0.1126760563380281,71.0,2018.0,142.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
211,B017B,B017B,2018.0,199.0,52.66,4.511183883381192,6244.0,28.167832167832167,0.3409307393037801,4609.0,24.49216783216783,5.336511808404479,9019.0,48.13,5.8331461763049965,6819.0,39.77622377622377,-0.4966343679005174,2200.0,8.35377622377623,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,199.0,0.6219512195121951,574.0,2018.0,136.66666666666666, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
212,B016D,B016D,2019.0,204.0,1.49,4.370629370629371,176.0,0.7692307692307693,0.1582460093098392,153.0,0.7207692307692307,5.134891734210424,323.2784810126582,1.66,6.11888111888112,176.0,1.076923076923077,-0.9839893846706964,147.27848101265818,0.5830769230769228,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,204.0,0.2142857142857142,14.0,2019.0,140.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
213,B016E,B016E,2021.0,213.0,16.82,2.497502497502497,3430.0,8.566433566433565,0.8902115004834044,1535.0,8.253566433566435,3.70300692245706,4598.965207631874,17.03,3.496503496503496,4410.0,15.419580419580418,0.2065034259535636,188.9652076318744,1.6104195804195829,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,213.0,0.1778523489932885,298.0,2021.0,141.9047619047619, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
214,B016F,B016F,2022.0,217.0,0.0,13.04847477674912,0.0,0.0,-5.561648410193306,0.0,0.0,3.199861114933744,2146.9681818181816,6.87,2.4975024975024978,3220.0,8.041958041958043,0.7023586174312464,-1073.0318181818184,-1.171958041958043,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,217.0,0.1481481481481481,270.0,2022.0,142.10526315789474, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
215,B016G,B016G,2023.0,220.0,0.0,13.04847477674912,0.0,0.0,-5.561648410193306,0.0,0.0,8.489968671245864,0.0,0.0,13.869218413812163,0.0,0.0,-5.371838138107516,0.0,0.0,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,220.0,0.0078125,128.0,2023.0,142.22222222222223, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
